,date,fund,company,ticker,shares,market value($),weight(%)
0,01/13/2021,ARKF,LENDINGTREE INC,TREE UW,172402.0,53020000.0,2.26
1,01/13/2021,ARKF,LENDINGCLUB CORP,LC,1879598.0,21300000.0,0.91
2,01/13/2021,ARKF,AMAZON.COM INC,AMZN,18166.0,57510000.0,2.45
3,01/13/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,18882.0,10130000.0,0.43
4,01/13/2021,ARKF,ADYEN NV,ADYEN,36114.0,78620000.0,3.35
5,01/13/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,40478.0,48570000.0,2.07
6,01/13/2021,ARKF,NVIDIA CORP,NVDA,45150.0,24440000.0,1.04
7,01/13/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,46891.0,3050000.0,0.13
8,01/13/2021,ARKF,MERCADOLIBRE INC,MELI,60795.0,109320000.0,4.65
9,01/13/2021,ARKF,VERISK ANALYTICS INC,VRSK,86812.0,17090000.0,0.73
10,01/13/2021,ARKF,INTUIT INC,INTU,100076.0,36520000.0,1.56
11,01/13/2021,ARKF,TELADOC HEALTH INC,TDOC,118226.0,27400000.0,1.17
12,01/13/2021,ARKF,FACEBOOK INC-CLASS A,FB,165960.0,41760000.0,1.78
13,01/13/2021,ARKF,TWILIO INC - A,TWLO,168290.0,62100000.0,2.64
14,01/13/2021,ARKF,WORKDAY INC-CLASS A,WDAY,186317.0,42680000.0,1.82
15,01/13/2021,ARKF,PINDUODUO INC-ADR,PDD,206831.0,34090000.0,1.45
16,01/13/2021,ARKF,DOCUSIGN INC,DOCU,228112.0,58360000.0,2.48
17,01/13/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,244151.0,31070000.0,1.32
18,01/13/2021,ARKF,SPLUNK INC,SPLK,250030.0,42670000.0,1.82
19,01/13/2021,ARKF,BASE INC,4477,252100.0,25480000.0,1.08
20,01/13/2021,ARKF,TAIWAN SEMICONDUCTOR-SP ADR,TSM,283365.0,33790000.0,1.44
21,01/13/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,283761.0,66769999.99999999,2.84
22,01/13/2021,ARKF,JD.COM INC-ADR,JD,308458.0,27900000.0,1.19
23,01/13/2021,ARKF,HDFC BANK LTD-ADR,HDB,311630.0,23580000.0,1.0
24,01/13/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,358051.0,87690000.0,3.73
25,01/13/2021,ARKF,APPLE INC,AAPL,384840.0,50370000.0,2.14
26,01/13/2021,ARKF,KE HOLDINGS INC,BEKE,386529.0,24710000.0,1.05
27,01/13/2021,ARKF,SEA LTD-ADR,SE,408368.0,92610000.0,3.94
28,01/13/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,544516.0,32400000.0,1.38
29,01/13/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,705123.0,48880000.0,2.08
30,01/13/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,737796.0,55250000.0,2.35
31,01/13/2021,ARKF,ZILLOW GROUP INC - C,Z,756554.0,108360000.0,4.61
32,01/13/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,767163.0,29650000.0,1.26
